respondent_id,persona,age_group,gender,city_tier,occupation,monthly_income_band,fashion_identity,style_primary,style_secondary,purchase_influence,sustainability_score,shop_frequency,monthly_fashion_spend,max_outfit_spend,mystery_box_wtp,discount_sensitivity,clothing_oversized_tees,clothing_baggy_jeans,clothing_coords_sets,clothing_dresses_skirts,clothing_jackets_blazers,clothing_kurtis_ethnic,clothing_cargo_joggers,clothing_crop_tops,colour_neutrals,colour_earthy_tones,colour_pastels,colour_bold_neon,colour_vintage_washed,colour_prints_patterns,colour_monochrome,accessory_bags_totes,accessory_jewellery,accessory_belts_clips,accessory_caps_hats,accessory_sunglasses,upcycle_interest,bundle_preference,occasion_festivals,occasion_everyday_casual,occasion_college_work,occasion_weddings_events,occasion_travel,occasion_gifting,prior_thrift_experience,top_concern,discovery_channel,purchase_motivator,digital_trust_score,size_confidence,ugc_propensity,return_policy_sensitivity,subscription_intent,gifting_behaviour,purchase_intent
606,Conscious Spender,23-27,Female,Metro,Student,25k-50k,Avoid fast fashion actively,Minimal / Clean girl,None,Brand reputation,3,Few times a year,1000-2500,1500-3000,1200-1800,Definitely yes,0,1,1,0,1,0,0,0,,1,1.0,1,1,1,0,0,0,0,0,0.0,Not interested,Sometimes if it appeals,1,1,1,1,,0,No but open,Hygiene/Cleanliness,Website/Online store,Sustainability,COD/Easy return,Somewhat confident,No,Comfortable with it,Prefer one-off,Never,Interested
607,Aesthetic Chaser,45+,Female,Tier 2,Student,10k-25k,Fashion as self-expression,Streetwear,Dark academia,Sustainability,3,Once a month,1000-2500,1500-3000,800-1200,Likely yes,0,1,0,0,1,0,0,1,1.0,0,0.0,0,0,1,0,0,1,0,0,1.0,Interested if priced right,Sometimes if it appeals,1,0,1,0,1.0,0,Yes a few times,Social stigma,WhatsApp drops,Great curation,Reviews and tagged photos,Somewhat confident,Occasionally,Comfortable with it,Maybe after first box,Yes frequently,Interested
608,Conscious Spender,28-34,Female,Metro,Working professional,Above 1L,Buy what is affordable,Formal / Classic,None,Sustainability,2,Few times a year,Above 5000,Under 300,800-1200,Likely yes,0,0,0,0,1,0,0,1,0.0,1,0.0,0,1,0,1,1,1,0,0,1.0,Very interested,Sometimes if it appeals,0,1,0,0,0.0,1,No but open,Hygiene/Cleanliness,Website/Online store,Sustainability,COD/Easy return,Not confident at all,Occasionally,Makes me hesitate,Prefer one-off,Yes frequently,Maybe
609,Bargain Hunter,28-34,Female,Metro,Working professional,Below 10k,Fashion as self-expression,Minimal / Clean girl,None,Price/Affordability,3,Multiple times a month,500-1000,300-700,Would not buy,Definitely yes,1,0,0,0,1,0,0,0,1.0,1,0.0,0,0,0,0,1,0,1,0,0.0,Very interested,Prefer complete looks,1,0,0,0,1.0,1,Yes a few times,Hygiene/Cleanliness,Instagram/Reels,Sustainability,COD/Easy return,Somewhat confident,No,Comfortable with it,Maybe after first box,Yes frequently,Interested
610,Bargain Hunter,18-22,Male,Tier 2,Working professional,10k-25k,Dress for comfort/practicality,Sporty / Athleisure,None,Social media trends,1,Once a month,500-1000,300-700,800-1200,Definitely yes,0,0,1,0,0,0,0,0,0.0,1,0.0,1,0,0,0,1,1,1,0,1.0,Interested if priced right,Prefer complete looks,0,1,0,0,0.0,1,Yes a few times,Hygiene/Cleanliness,WhatsApp drops,Unique pieces,Reviews and tagged photos,Very confident,Engage but rarely post,Yes would stop me,Maybe after first box,Yes frequently,Interested
611,Aesthetic Chaser,23-27,Female,Metro,Student,10k-25k,Avoid fast fashion actively,Minimal / Clean girl,None,Sustainability,2,Once every 2-3 months,2500-5000,700-1500,1200-1800,Definitely yes,0,0,1,1,0,1,0,1,1.0,1,1.0,0,0,0,1,0,0,0,0,1.0,Curious but unsure,Prefer to mix myself,0,1,1,0,0.0,0,Yes a few times,Limited style options,Pop-up events,Great curation,Clear size guide and photos,Somewhat confident,Engage but rarely post,Yes would stop me,Maybe after first box,Yes occasionally,Maybe
612,Fence-Sitter,23-27,Male,Tier 2,Student,50k-1L,Dress for comfort/practicality,Streetwear,Formal / Classic,Peer recommendations,3,Once every 2-3 months,500-1000,700-1500,500-800,Unsure,1,1,1,1,1,0,0,0,0.0,0,0.0,0,1,0,1,1,0,0,0,1.0,Interested if priced right,Prefer to mix myself,1,1,1,0,1.0,0,No and unlikely,Size availability,YouTube hauls,Sustainability,Follower count/Brand credibility,Not confident at all,Engage but rarely post,Makes me hesitate,No interest,Rarely,Not Interested
613,Bargain Hunter,23-27,Male,Tier 2,Student,Below 10k,Dress for comfort/practicality,Y2K / Retro,Dark academia,Sustainability,2,Multiple times a month,1000-2500,300-700,Under 500,Likely yes,0,1,1,1,0,0,0,0,1.0,1,1.0,1,0,0,1,1,1,0,0,0.0,Interested if priced right,Sometimes if it appeals,1,0,0,0,0.0,0,Yes a few times,Hygiene/Cleanliness,WhatsApp drops,Great curation,Reviews and tagged photos,Unsure - it concerns me,No,Depends on price,Would subscribe immediately,Yes frequently,Interested
614,Aesthetic Chaser,35-44,Male,Tier 2,Student,Below 10k,Fashion as self-expression,Streetwear,Y2K / Retro,Sustainability,3,Multiple times a month,2500-5000,700-1500,1200-1800,Probably not,1,1,1,0,1,0,1,0,0.0,0,1.0,0,1,1,1,1,0,1,0,1.0,Very interested,Prefer complete looks,1,1,1,0,1.0,1,Yes regularly,No major concerns,WhatsApp drops,Unique pieces,Reviews and tagged photos,Very confident,Yes regularly,Comfortable with it,Maybe after first box,Rarely,Interested
615,Occasional Gifter,28-34,Male,Metro,Self-employed/Freelancer,Below 10k,Buy what is affordable,Y2K / Retro,Streetwear,Price/Affordability,4,Once every 2-3 months,1000-2500,Under 300,500-800,Unsure,1,0,0,0,1,0,0,0,1.0,0,0.0,1,0,1,1,1,1,1,0,0.0,Curious but unsure,Sometimes if it appeals,1,1,0,1,1.0,0,No but open,Social stigma,YouTube hauls,Low prices,Reviews and tagged photos,Not confident at all,Engage but rarely post,Yes would stop me,Prefer one-off,Yes occasionally,Maybe
616,Occasional Gifter,35-44,Female,Tier 3 / Small town,Student,50k-1L,Fashion as self-expression,Streetwear,Dark academia,Brand reputation,3,Rarely,2500-5000,700-1500,500-800,Likely yes,1,1,1,0,1,0,0,1,0.0,0,0.0,1,0,0,1,1,1,1,0,1.0,Not interested,Prefer complete looks,1,0,1,1,0.0,0,No and unlikely,Social stigma,Pop-up events,Low prices,COD/Easy return,Not confident at all,Engage but rarely post,Makes me hesitate,Prefer one-off,Yes occasionally,Not Interested
617,Aesthetic Chaser,18-22,Male,Metro,Working professional,10k-25k,Fashion as self-expression,Streetwear,None,Social media trends,2,Once a month,1000-2500,Above 3000,1200-1800,Unsure,1,1,1,0,1,0,1,1,1.0,0,0.0,1,0,0,1,1,1,0,0,1.0,Curious but unsure,Prefer complete looks,1,0,1,0,0.0,1,Yes a few times,Size availability,YouTube hauls,Low prices,Clear size guide and photos,Very confident,Occasionally,Makes me hesitate,Would subscribe immediately,Never,Maybe
618,Aesthetic Chaser,23-27,Male,Metro,Student,Below 10k,Fashion as self-expression,Streetwear,None,Sustainability,3,Once every 2-3 months,1000-2500,1500-3000,800-1200,Unsure,1,1,0,1,0,0,0,0,1.0,1,0.0,1,0,1,1,1,0,1,1,1.0,Very interested,Prefer complete looks,1,1,1,0,0.0,0,No but open,Quality/Wear and tear,Instagram/Reels,Low prices,Clear size guide and photos,Somewhat confident,Yes regularly,Comfortable with it,Maybe after first box,Yes frequently,Interested
619,Fence-Sitter,23-27,Male,Metro,Student,25k-50k,Buy what is affordable,Y2K / Retro,None,Price/Affordability,4,Once every 2-3 months,2500-5000,700-1500,Under 500,Definitely yes,1,1,0,0,1,0,0,0,1.0,1,0.0,0,0,0,0,0,1,1,1,1.0,Interested if priced right,Sometimes if it appeals,0,1,0,0,0.0,1,No but open,Size availability,Word of mouth,Low prices,Clear size guide and photos,Somewhat confident,Occasionally,Makes me hesitate,No interest,Yes occasionally,Interested
620,Fence-Sitter,18-22,Male,Tier 3 / Small town,Student,10k-25k,Buy what is affordable,Y2K / Retro,None,Celebrity/Influencer,3,Multiple times a month,500-1000,1500-3000,Under 500,Likely yes,0,0,0,1,0,0,0,0,1.0,1,1.0,1,0,0,0,0,0,1,1,0.0,Very interested,Sometimes if it appeals,1,1,1,0,0.0,0,No but open,Quality/Wear and tear,Instagram/Reels,Low prices,Follower count/Brand credibility,Somewhat confident,Occasionally,Makes me hesitate,Would subscribe immediately,Rarely,Interested
621,Aesthetic Chaser,18-22,Female,Tier 2,Working professional,10k-25k,Fashion as self-expression,Minimal / Clean girl,None,Social media trends,2,Once a month,500-1000,Under 300,500-800,Unsure,0,1,0,0,1,0,1,0,1.0,1,0.0,0,0,0,1,0,0,0,0,1.0,Very interested,Sometimes if it appeals,1,1,1,1,1.0,0,Yes regularly,Hygiene/Cleanliness,Instagram/Reels,Unique pieces,Clear size guide and photos,Very confident,Yes regularly,Comfortable with it,Maybe after first box,Never,Interested
622,Aesthetic Chaser,28-34,Female,Metro,Student,25k-50k,Fashion as self-expression,Streetwear,Y2K / Retro,Sustainability,2,Multiple times a month,1000-2500,1500-3000,1200-1800,Likely yes,0,1,1,0,1,0,0,0,1.0,0,0.0,1,1,1,0,1,0,0,1,0.0,Interested if priced right,Sometimes if it appeals,0,1,1,0,1.0,0,Yes regularly,No major concerns,Website/Online store,Great curation,Reviews and tagged photos,Unsure - it concerns me,Occasionally,Depends on price,Maybe after first box,Yes frequently,Interested
623,Conscious Spender,28-34,Female,Tier 2,Student,50k-1L,Fashion as self-expression,Cottagecore / Boho,None,Celebrity/Influencer,1,Once a month,500-1000,Above 3000,1200-1800,Unsure,1,0,0,1,0,1,0,0,0.0,0,1.0,0,1,1,0,0,1,1,0,1.0,Interested if priced right,Prefer complete looks,1,1,0,0,0.0,0,No but open,Quality/Wear and tear,Pop-up events,Sustainability,Clear size guide and photos,Somewhat confident,Engage but rarely post,Yes would stop me,No interest,Yes occasionally,Not Interested
624,Conscious Spender,Under 18,Male,Metro,Self-employed/Freelancer,Below 10k,Buy what is affordable,Minimal / Clean girl,None,Social media trends,2,Once every 2-3 months,1000-2500,300-700,1200-1800,Definitely yes,0,0,0,0,1,0,0,0,,0,,0,0,0,0,0,1,1,1,0.0,Interested if priced right,Prefer complete looks,0,1,0,0,0.0,1,No but open,Quality/Wear and tear,WhatsApp drops,Sustainability,Clear size guide and photos,Not confident at all,Engage but rarely post,Depends on price,Maybe after first box,Yes occasionally,Maybe
625,Bargain Hunter,18-22,Female,Rural,Working professional,10k-25k,Dress for comfort/practicality,Minimal / Clean girl,Y2K / Retro,Price/Affordability,3,Rarely,Under 500,300-700,Under 500,Definitely yes,0,1,0,0,1,0,1,0,1.0,1,0.0,0,0,0,1,0,0,0,0,1.0,Interested if priced right,Sometimes if it appeals,1,1,1,0,1.0,0,No and unlikely,Hygiene/Cleanliness,WhatsApp drops,Easy returns,Clear size guide and photos,Very confident,Yes regularly,Comfortable with it,Prefer one-off,Yes occasionally,Interested
626,Conscious Spender,23-27,Male,Metro,Working professional,10k-25k,Avoid fast fashion actively,Minimal / Clean girl,None,Social media trends,2,Multiple times a month,1000-2500,700-1500,500-800,Unsure,0,0,0,1,1,0,0,0,1.0,1,1.0,0,0,1,0,0,0,0,1,0.0,Interested if priced right,Prefer to mix myself,1,1,1,1,0.0,0,Yes a few times,Size availability,Pop-up events,Sustainability,COD/Easy return,Somewhat confident,Engage but rarely post,Depends on price,Maybe after first box,Yes occasionally,Interested
627,Conscious Spender,28-34,Male,Rural,Working professional,25k-50k,Follow trends to fit in,Y2K / Retro,None,Price/Affordability,2,Few times a year,Above 5000,Under 300,800-1200,Probably not,1,0,0,0,1,0,0,1,0.0,0,1.0,0,0,0,1,1,1,1,1,0.0,Interested if priced right,No preference,0,1,1,0,1.0,1,No and unlikely,Quality/Wear and tear,Website/Online store,Sustainability,Clear size guide and photos,Somewhat confident,No,Depends on price,Prefer one-off,Yes occasionally,Not Interested
628,Fence-Sitter,Under 18,Female,Tier 2,Homemaker,25k-50k,Dress for comfort/practicality,Minimal / Clean girl,None,Peer recommendations,3,Once every 2-3 months,1000-2500,1500-3000,800-1200,Unsure,0,1,0,0,1,0,0,1,1.0,1,0.0,0,0,0,1,1,1,1,0,0.0,Interested if priced right,Prefer complete looks,1,1,1,1,1.0,0,No but open,Limited style options,Instagram/Reels,Great curation,Reviews and tagged photos,Not confident at all,Engage but rarely post,Makes me hesitate,Prefer one-off,Rarely,Maybe
629,Aesthetic Chaser,18-22,Female,Rural,Student,10k-25k,Fashion as self-expression,Cottagecore / Boho,Sporty / Athleisure,Social media trends,3,Once a month,2500-5000,700-1500,800-1200,Definitely yes,0,0,0,1,0,0,1,0,0.0,1,0.0,1,1,0,1,0,0,1,0,1.0,Interested if priced right,Prefer to mix myself,0,1,1,1,1.0,0,Yes regularly,Size availability,Pop-up events,Low prices,Reviews and tagged photos,Not confident at all,Yes regularly,Comfortable with it,Would subscribe immediately,Yes occasionally,Interested
630,Aesthetic Chaser,18-22,Female,Metro,Student,Below 10k,Buy what is affordable,Sporty / Athleisure,None,Sustainability,2,Once a month,2500-5000,Under 300,800-1200,Likely yes,1,1,0,0,1,0,1,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0.0,Very interested,Sometimes if it appeals,0,1,0,1,1.0,0,Yes regularly,Quality/Wear and tear,Instagram/Reels,Unique pieces,Clear size guide and photos,Not confident at all,Yes regularly,Comfortable with it,Maybe after first box,Yes occasionally,Maybe
631,Fence-Sitter,23-27,Female,Metro,Working professional,Below 10k,Buy what is affordable,Minimal / Clean girl,None,Celebrity/Influencer,2,Once every 2-3 months,1000-2500,700-1500,1200-1800,Likely yes,1,0,0,0,0,0,1,0,0.0,1,1.0,0,0,0,1,1,1,0,0,0.0,Curious but unsure,Prefer to mix myself,0,1,1,1,1.0,0,No and unlikely,Quality/Wear and tear,Word of mouth,Social proof,Follower count/Brand credibility,Somewhat confident,Engage but rarely post,Makes me hesitate,No interest,Yes occasionally,Maybe
632,Occasional Gifter,35-44,Male,Metro,Working professional,50k-1L,Dress for comfort/practicality,Cottagecore / Boho,None,Celebrity/Influencer,2,Once every 2-3 months,2500-5000,1500-3000,500-800,Definitely yes,1,0,0,1,1,1,0,0,0.0,1,1.0,0,1,0,1,1,1,0,0,0.0,Curious but unsure,Prefer complete looks,1,0,1,0,0.0,1,No but open,Quality/Wear and tear,Instagram/Reels,Great curation,COD/Easy return,Unsure - it concerns me,Engage but rarely post,Depends on price,Maybe after first box,Yes frequently,Interested
633,Bargain Hunter,18-22,Female,Metro,Student,25k-50k,Buy what is affordable,Y2K / Retro,None,Peer recommendations,3,Multiple times a month,Above 5000,300-700,Would not buy,Definitely yes,1,1,0,1,1,0,0,1,0.0,0,1.0,1,1,1,1,0,1,1,0,1.0,Interested if priced right,Sometimes if it appeals,0,1,1,0,0.0,1,Yes a few times,Size availability,WhatsApp drops,Unique pieces,Clear size guide and photos,Somewhat confident,No,Makes me hesitate,Prefer one-off,Yes frequently,Interested
634,Bargain Hunter,23-27,Male,Tier 3 / Small town,Student,Below 10k,Follow trends to fit in,Cottagecore / Boho,Minimal / Clean girl,Price/Affordability,4,Multiple times a month,Under 500,Under 300,500-800,Definitely yes,0,0,0,1,0,0,0,0,0.0,1,1.0,0,1,1,1,1,1,0,1,0.0,Curious but unsure,Prefer to mix myself,1,1,1,0,1.0,0,Yes regularly,Social stigma,Instagram/Reels,Low prices,Follower count/Brand credibility,Unsure - it concerns me,Engage but rarely post,Yes would stop me,No interest,Yes frequently,Interested
635,Aesthetic Chaser,23-27,Male,Metro,Working professional,Above 1L,Follow trends to fit in,Streetwear,None,Brand reputation,3,Once a month,Under 500,300-700,500-800,Definitely yes,1,1,1,0,0,0,1,1,1.0,0,0.0,1,0,0,0,1,0,0,1,1.0,Very interested,Prefer complete looks,1,1,1,1,1.0,0,No but open,Quality/Wear and tear,Instagram/Reels,Unique pieces,Clear size guide and photos,Somewhat confident,Occasionally,Makes me hesitate,Maybe after first box,Never,Interested
636,Conscious Spender,23-27,Female,Metro,Self-employed/Freelancer,10k-25k,Avoid fast fashion actively,Cottagecore / Boho,Dark academia,Social media trends,1,Once every 2-3 months,Above 5000,1500-3000,1200-1800,Likely yes,0,0,0,0,0,1,0,1,1.0,1,1.0,0,1,0,1,1,1,1,0,0.0,Not interested,Sometimes if it appeals,1,1,0,1,0.0,0,Yes a few times,Limited style options,Instagram/Reels,Great curation,COD/Easy return,Somewhat confident,Engage but rarely post,Makes me hesitate,Would subscribe immediately,Yes occasionally,Maybe
637,Bargain Hunter,18-22,Male,Tier 2,Working professional,Below 10k,Fashion as self-expression,Y2K / Retro,None,Sustainability,2,Multiple times a month,1000-2500,700-1500,800-1200,Definitely yes,0,0,1,0,1,0,0,0,0.0,1,0.0,1,1,1,0,1,1,1,0,0.0,Curious but unsure,Sometimes if it appeals,1,1,0,1,0.0,0,Yes a few times,Quality/Wear and tear,Word of mouth,Low prices,Clear size guide and photos,Not confident at all,Engage but rarely post,Comfortable with it,Would subscribe immediately,Never,Interested
638,Aesthetic Chaser,18-22,Female,Metro,Homemaker,Above 1L,Follow trends to fit in,Y2K / Retro,None,Brand reputation,4,Once a month,500-1000,Under 300,1200-1800,Likely yes,0,1,0,0,1,1,0,1,0.0,0,0.0,0,0,1,1,0,1,0,1,1.0,Very interested,Prefer complete looks,0,1,1,0,0.0,0,Yes a few times,Quality/Wear and tear,Pop-up events,Low prices,COD/Easy return,Unsure - it concerns me,Engage but rarely post,Depends on price,Prefer one-off,Yes frequently,Interested
639,Aesthetic Chaser,18-22,Female,Metro,Student,10k-25k,Fashion as self-expression,Streetwear,None,Sustainability,4,Multiple times a month,1000-2500,700-1500,800-1200,Likely yes,1,1,0,0,0,0,1,1,0.0,0,1.0,1,0,1,0,0,1,1,0,1.0,Interested if priced right,Prefer complete looks,1,1,1,1,1.0,0,No but open,Quality/Wear and tear,Website/Online store,Great curation,Reviews and tagged photos,Unsure - it concerns me,Occasionally,Makes me hesitate,Would subscribe immediately,Yes frequently,Interested
640,Conscious Spender,23-27,Male,Metro,Working professional,10k-25k,Dress for comfort/practicality,Streetwear,Cottagecore / Boho,Brand reputation,2,Once every 2-3 months,2500-5000,700-1500,800-1200,Unsure,0,0,0,0,0,0,0,1,1.0,1,0.0,0,0,0,0,1,0,0,0,1.0,Very interested,Sometimes if it appeals,0,0,1,0,1.0,0,No but open,Quality/Wear and tear,Instagram/Reels,Easy returns,Clear size guide and photos,Not confident at all,Yes regularly,Makes me hesitate,Maybe after first box,Never,Maybe
641,Aesthetic Chaser,18-22,Female,Metro,Working professional,Below 10k,Fashion as self-expression,Streetwear,Formal / Classic,Social media trends,2,Few times a year,500-1000,300-700,500-800,Probably not,1,0,0,0,1,0,0,0,0.0,1,0.0,1,0,0,1,1,1,1,0,1.0,Interested if priced right,Prefer complete looks,1,1,1,0,0.0,0,Yes a few times,Hygiene/Cleanliness,Instagram/Reels,Great curation,Clear size guide and photos,Somewhat confident,Yes regularly,Comfortable with it,Maybe after first box,Yes frequently,Interested
642,Conscious Spender,23-27,Male,Metro,Working professional,Above 1L,Dress for comfort/practicality,Minimal / Clean girl,Formal / Classic,Price/Affordability,1,Once every 2-3 months,500-1000,700-1500,1200-1800,Unsure,1,0,0,1,1,0,0,1,1.0,0,0.0,0,0,0,0,0,0,1,0,1.0,Very interested,Sometimes if it appeals,1,1,0,0,0.0,0,Yes a few times,Quality/Wear and tear,Instagram/Reels,Sustainability,Clear size guide and photos,Somewhat confident,Occasionally,Makes me hesitate,Maybe after first box,Yes frequently,Interested
643,Aesthetic Chaser,28-34,Female,Metro,Student,25k-50k,Fashion as self-expression,Y2K / Retro,None,Peer recommendations,4,Multiple times a month,2500-5000,Under 300,500-800,Likely yes,1,0,0,1,1,0,0,0,0.0,0,1.0,0,1,0,1,0,1,1,0,0.0,Curious but unsure,Sometimes if it appeals,1,0,0,1,0.0,0,Yes a few times,Quality/Wear and tear,WhatsApp drops,Great curation,Clear size guide and photos,Somewhat confident,Engage but rarely post,Comfortable with it,Maybe after first box,Rarely,Interested
644,Conscious Spender,23-27,Female,Tier 3 / Small town,Working professional,50k-1L,Follow trends to fit in,Cottagecore / Boho,None,Brand reputation,4,Once every 2-3 months,2500-5000,Under 300,800-1200,Probably not,0,0,0,1,0,0,0,1,1.0,0,1.0,1,1,1,0,1,1,1,0,0.0,Interested if priced right,Prefer complete looks,1,0,1,1,1.0,0,Yes a few times,Size availability,Instagram/Reels,Sustainability,COD/Easy return,Unsure - it concerns me,Engage but rarely post,Comfortable with it,Prefer one-off,Yes occasionally,Maybe
645,Aesthetic Chaser,18-22,Male,Metro,Working professional,Above 1L,Buy what is affordable,Streetwear,Y2K / Retro,Price/Affordability,4,Once a month,Above 5000,300-700,800-1200,Likely yes,1,0,0,0,1,0,1,0,1.0,1,1.0,1,1,0,1,1,1,0,0,0.0,Very interested,Sometimes if it appeals,0,1,1,0,1.0,0,Yes a few times,Size availability,Instagram/Reels,Unique pieces,COD/Easy return,Somewhat confident,Occasionally,Comfortable with it,Prefer one-off,Yes occasionally,Interested
646,Occasional Gifter,23-27,Female,Metro,Unemployed/Between jobs,10k-25k,Fashion as self-expression,Cottagecore / Boho,None,Brand reputation,3,Few times a year,1000-2500,1500-3000,Under 500,Probably not,0,0,0,0,1,0,0,1,0.0,1,1.0,0,0,0,0,0,0,1,0,1.0,Not interested,Sometimes if it appeals,1,0,0,0,1.0,1,Yes regularly,Hygiene/Cleanliness,WhatsApp drops,Easy returns,COD/Easy return,Unsure - it concerns me,Engage but rarely post,Makes me hesitate,Would subscribe immediately,Yes occasionally,Maybe
647,Bargain Hunter,23-27,Female,Tier 2,Student,25k-50k,Dress for comfort/practicality,Cottagecore / Boho,Minimal / Clean girl,Price/Affordability,1,Multiple times a month,Under 500,Under 300,500-800,Definitely yes,0,0,0,1,1,0,0,1,1.0,0,0.0,1,1,0,0,0,1,0,1,1.0,Not interested,Prefer complete looks,1,0,1,1,1.0,0,No but open,Limited style options,WhatsApp drops,Low prices,Clear size guide and photos,Not confident at all,Engage but rarely post,Comfortable with it,No interest,Yes occasionally,Interested
648,Bargain Hunter,18-22,Female,Tier 3 / Small town,Student,10k-25k,Dress for comfort/practicality,Sporty / Athleisure,Streetwear,Brand reputation,3,Few times a year,500-1000,1500-3000,500-800,Probably not,0,0,0,0,0,0,1,0,0.0,1,1.0,1,1,0,0,1,1,0,0,1.0,Not interested,Prefer complete looks,1,1,1,0,0.0,1,No but open,Size availability,Pop-up events,Low prices,Reviews and tagged photos,Unsure - it concerns me,No,Yes would stop me,Maybe after first box,Yes occasionally,Not Interested
649,Fence-Sitter,28-34,Female,Metro,Working professional,Below 10k,Fashion as self-expression,Minimal / Clean girl,Formal / Classic,Price/Affordability,2,Once every 2-3 months,2500-5000,300-700,800-1200,Definitely yes,1,0,1,1,0,0,0,0,1.0,0,0.0,0,0,0,0,1,0,1,0,1.0,Curious but unsure,Prefer to mix myself,0,1,0,1,0.0,0,No and unlikely,Size availability,Website/Online store,Low prices,Follower count/Brand credibility,Not confident at all,Engage but rarely post,Yes would stop me,No interest,Never,Not Interested
650,Conscious Spender,18-22,Non-binary/Gender fluid,Tier 2,Working professional,25k-50k,Avoid fast fashion actively,Minimal / Clean girl,None,Sustainability,2,Few times a year,2500-5000,Above 3000,Would not buy,Probably not,1,0,1,0,1,0,0,0,1.0,1,0.0,1,1,0,1,1,0,0,0,1.0,Not interested,Prefer complete looks,0,1,0,0,1.0,0,No but open,No major concerns,YouTube hauls,Sustainability,COD/Easy return,Very confident,Occasionally,Yes would stop me,Maybe after first box,Rarely,Not Interested
651,Aesthetic Chaser,28-34,Male,Tier 2,Student,25k-50k,Fashion as self-expression,Streetwear,Formal / Classic,Brand reputation,3,Once a month,500-1000,700-1500,800-1200,Unsure,0,0,0,0,0,0,1,0,1.0,1,0.0,0,0,1,0,0,0,0,1,1.0,Interested if priced right,Sometimes if it appeals,1,1,1,0,1.0,1,Yes regularly,No major concerns,Instagram/Reels,Great curation,Follower count/Brand credibility,Very confident,Occasionally,Depends on price,Maybe after first box,Rarely,Interested
652,Bargain Hunter,18-22,Male,Tier 3 / Small town,Self-employed/Freelancer,10k-25k,Dress for comfort/practicality,Streetwear,Y2K / Retro,Sustainability,2,Once a month,1000-2500,Under 300,1200-1800,Definitely yes,0,1,1,0,0,0,0,0,1.0,0,0.0,1,1,1,1,1,0,0,0,0.0,Interested if priced right,No preference,1,1,1,0,1.0,1,No but open,Quality/Wear and tear,WhatsApp drops,Social proof,Reviews and tagged photos,Unsure - it concerns me,Occasionally,Yes would stop me,Maybe after first box,Rarely,Interested
653,Bargain Hunter,Under 18,Male,Rural,Working professional,Below 10k,Fashion as self-expression,Minimal / Clean girl,Formal / Classic,Personal expression,4,Once a month,Under 500,700-1500,800-1200,Definitely yes,0,0,0,1,0,1,0,0,1.0,1,0.0,0,0,0,1,1,0,0,0,0.0,Curious but unsure,Prefer complete looks,1,1,1,0,0.0,0,Yes a few times,Size availability,Instagram/Reels,Unique pieces,COD/Easy return,Unsure - it concerns me,No,Comfortable with it,No interest,Yes occasionally,Interested
654,Fence-Sitter,35-44,Male,Metro,Self-employed/Freelancer,10k-25k,Fashion as self-expression,Cottagecore / Boho,Y2K / Retro,Price/Affordability,4,Once a month,2500-5000,1500-3000,1200-1800,No,0,0,0,1,0,0,0,0,0.0,0,0.0,0,1,0,1,0,0,0,0,0.0,Very interested,Sometimes if it appeals,1,1,1,0,0.0,0,No but open,Quality/Wear and tear,Instagram/Reels,Low prices,COD/Easy return,Somewhat confident,Yes regularly,Yes would stop me,Prefer one-off,Rarely,Maybe
655,Conscious Spender,35-44,Male,Metro,Working professional,10k-25k,Avoid fast fashion actively,Minimal / Clean girl,None,Price/Affordability,1,Once a month,2500-5000,700-1500,1200-1800,Definitely yes,0,1,1,1,1,0,0,1,1.0,0,0.0,0,0,0,1,1,1,1,0,1.0,Very interested,No preference,0,1,1,0,0.0,1,Yes a few times,Quality/Wear and tear,Instagram/Reels,Sustainability,Clear size guide and photos,Very confident,Occasionally,Comfortable with it,Prefer one-off,Rarely,Interested
656,Aesthetic Chaser,28-34,Male,Tier 2,Student,10k-25k,Buy what is affordable,Minimal / Clean girl,None,Social media trends,2,Once a month,2500-5000,1500-3000,800-1200,Unsure,1,0,1,0,0,0,0,0,1.0,0,0.0,0,0,1,1,0,1,0,0,0.0,Curious but unsure,Prefer to mix myself,0,1,1,0,1.0,0,No but open,Hygiene/Cleanliness,Instagram/Reels,Unique pieces,Clear size guide and photos,Very confident,Occasionally,Comfortable with it,Maybe after first box,Rarely,Interested
657,Conscious Spender,23-27,Male,Metro,Unemployed/Between jobs,Below 10k,Dress for comfort/practicality,Streetwear,None,Price/Affordability,2,Few times a year,1000-2500,700-1500,Would not buy,Likely yes,1,1,0,0,0,0,0,1,1.0,1,0.0,1,1,1,1,1,0,1,0,1.0,Curious but unsure,Sometimes if it appeals,1,0,0,0,0.0,0,No but open,Hygiene/Cleanliness,Instagram/Reels,Sustainability,COD/Easy return,Unsure - it concerns me,Yes regularly,Depends on price,Prefer one-off,Rarely,Interested
658,Conscious Spender,35-44,Non-binary/Gender fluid,Metro,Homemaker,50k-1L,Fashion as self-expression,Minimal / Clean girl,Dark academia,Brand reputation,2,Once a month,Above 5000,Above 3000,1200-1800,Probably not,0,1,0,0,1,0,1,0,0.0,0,0.0,0,0,0,1,0,0,1,0,1.0,Interested if priced right,Prefer complete looks,0,1,1,0,1.0,0,Yes a few times,No major concerns,Instagram/Reels,Easy returns,COD/Easy return,Very confident,Engage but rarely post,Depends on price,Prefer one-off,Yes frequently,Interested
